CPU,Mem,Net,Block
0.00%,14.3MiB / 3.835GiB,16.1kB / 25kB,229kB / 238kB
0.00%,14.3MiB / 3.835GiB,16.1kB / 25kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.1kB / 25kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.1kB / 25kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.09%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.09%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.09%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.09%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.09%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.09%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.09%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.09%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,229kB / 238kB
0.08%,14.3MiB / 3.835GiB,16.4kB / 25.3kB,229kB / 238kB
0.08%,14.3MiB / 3.835GiB,16.4kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.4kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.4kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.08%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.08%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.13%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.13%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.06%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.05%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.05%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.3MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.09%,14.3MiB / 3.835GiB,16.6kB / 25.4kB,229kB / 238kB
0.09%,14.3MiB / 3.835GiB,16.6kB / 25.4kB,229kB / 238kB
0.31%,14.31MiB / 3.835GiB,21.9kB / 26.2kB,229kB / 238kB
0.31%,14.31MiB / 3.835GiB,21.9kB / 26.2kB,229kB / 238kB
0.47%,14.48MiB / 3.835GiB,22.6kB / 37.6kB,229kB / 279kB
0.47%,14.48MiB / 3.835GiB,22.6kB / 37.6kB,229kB / 279kB
0.09%,14.48MiB / 3.835GiB,22.6kB / 37.6kB,229kB / 279kB
0.09%,14.48MiB / 3.835GiB,22.6kB / 37.6kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.6kB / 37.6kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.6kB / 37.6kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.6kB / 37.6kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.6kB / 37.6kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.12%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.12%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.11%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.11%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.6kB / 37.7kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.11%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.11%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.07%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.8kB / 37.9kB,229kB / 279kB
0.09%,14.48MiB / 3.835GiB,22.9kB / 38kB,229kB / 279kB
0.09%,14.48MiB / 3.835GiB,22.9kB / 38kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.9kB / 38kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.9kB / 38kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.9kB / 38kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.9kB / 38kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.9kB / 38kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.9kB / 38kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.9kB / 38kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,22.9kB / 38kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.9kB / 38kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,22.9kB / 38kB,229kB / 279kB
0.09%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.09%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.06%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.08%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.09%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.09%,14.48MiB / 3.835GiB,23kB / 38.1kB,229kB / 279kB
0.10%,14.48MiB / 3.835GiB,23.1kB / 38.1kB,229kB / 279kB
0.10%,14.48MiB / 3.835GiB,23.1kB / 38.1kB,229kB / 279kB
