CPU,Mem,Net,Block
0.00%,44.52MiB / 3.835GiB,72.8kB / 33.6kB,32.8kB / 254kB
2.47%,44.52MiB / 3.835GiB,72.8kB / 33.6kB,32.8kB / 254kB
2.47%,44.52MiB / 3.835GiB,72.8kB / 33.6kB,32.8kB / 254kB
2.47%,44.52MiB / 3.835GiB,72.8kB / 33.6kB,32.8kB / 254kB
2.08%,44.52MiB / 3.835GiB,72.8kB / 33.6kB,32.8kB / 254kB
2.08%,44.52MiB / 3.835GiB,72.8kB / 33.6kB,32.8kB / 254kB
1.55%,44.52MiB / 3.835GiB,72.8kB / 33.6kB,32.8kB / 254kB
1.55%,44.52MiB / 3.835GiB,72.8kB / 33.6kB,32.8kB / 254kB
1.69%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.69%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.72%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.72%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.63%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.63%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.52%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.52%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.71%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.71%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.65%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.65%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.74%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.74%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.61%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.61%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.57%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.57%,44.52MiB / 3.835GiB,72.9kB / 33.8kB,32.8kB / 254kB
1.68%,44.52MiB / 3.835GiB,73kB / 33.8kB,32.8kB / 254kB
1.68%,44.52MiB / 3.835GiB,73kB / 33.8kB,32.8kB / 254kB
1.52%,44.52MiB / 3.835GiB,73kB / 33.8kB,32.8kB / 254kB
1.52%,44.52MiB / 3.835GiB,73kB / 33.8kB,32.8kB / 254kB
1.63%,44.52MiB / 3.835GiB,73kB / 33.8kB,32.8kB / 254kB
1.63%,44.52MiB / 3.835GiB,73kB / 33.8kB,32.8kB / 254kB
1.57%,44.52MiB / 3.835GiB,73kB / 33.8kB,32.8kB / 254kB
1.57%,44.52MiB / 3.835GiB,73kB / 33.8kB,32.8kB / 254kB
1.47%,44.52MiB / 3.835GiB,73kB / 33.8kB,32.8kB / 254kB
1.47%,44.52MiB / 3.835GiB,73kB / 33.8kB,32.8kB / 254kB
1.85%,44.52MiB / 3.835GiB,73.1kB / 34kB,32.8kB / 254kB
1.85%,44.52MiB / 3.835GiB,73.1kB / 34kB,32.8kB / 254kB
1.70%,44.52MiB / 3.835GiB,73.1kB / 34kB,32.8kB / 254kB
1.70%,44.52MiB / 3.835GiB,73.1kB / 34kB,32.8kB / 254kB
1.64%,44.52MiB / 3.835GiB,73.1kB / 34kB,32.8kB / 254kB
1.64%,44.52MiB / 3.835GiB,73.1kB / 34kB,32.8kB / 254kB
1.70%,44.52MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
1.70%,44.52MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
1.45%,44.52MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
1.45%,44.52MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
2.03%,44.52MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
2.03%,44.52MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
1.73%,44.52MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
1.73%,44.52MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
1.46%,44.52MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
1.46%,44.52MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
1.94%,44.52MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
1.94%,44.52MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
24.75%,99.16MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
24.75%,99.16MiB / 3.835GiB,73.2kB / 34kB,32.8kB / 254kB
60.16%,99.28MiB / 3.835GiB,73.3kB / 34.1kB,32.8kB / 254kB
60.16%,99.28MiB / 3.835GiB,73.3kB / 34.1kB,32.8kB / 254kB
59.17%,99.16MiB / 3.835GiB,73.3kB / 34.1kB,32.8kB / 254kB
59.17%,99.16MiB / 3.835GiB,73.3kB / 34.1kB,32.8kB / 254kB
61.08%,99.16MiB / 3.835GiB,73.3kB / 34.1kB,32.8kB / 254kB
61.08%,99.16MiB / 3.835GiB,73.3kB / 34.1kB,32.8kB / 254kB
60.32%,99.16MiB / 3.835GiB,73.3kB / 34.1kB,32.8kB / 254kB
60.32%,99.16MiB / 3.835GiB,73.3kB / 34.1kB,32.8kB / 254kB
60.83%,99.16MiB / 3.835GiB,73.3kB / 34.1kB,32.8kB / 254kB
60.83%,99.16MiB / 3.835GiB,73.3kB / 34.1kB,32.8kB / 254kB
20.88%,99.16MiB / 3.835GiB,73.4kB / 34.2kB,32.8kB / 254kB
20.88%,99.16MiB / 3.835GiB,73.4kB / 34.2kB,32.8kB / 254kB
2.59%,99.16MiB / 3.835GiB,73.4kB / 34.3kB,32.8kB / 254kB
2.59%,99.16MiB / 3.835GiB,73.4kB / 34.3kB,32.8kB / 254kB
2.57%,99.83MiB / 3.835GiB,77.5kB / 40kB,32.8kB / 254kB
2.57%,99.83MiB / 3.835GiB,77.5kB / 40kB,32.8kB / 254kB
5.70%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
5.70%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.63%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.63%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.60%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.60%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.52%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.52%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.52%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.61%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.61%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.39%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.39%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.47%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.47%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.46%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.46%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.54%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.54%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.46%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.46%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.57%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.57%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.37%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.37%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.70%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.70%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.53%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.53%,100.7MiB / 3.835GiB,95.2kB / 48.4kB,32.8kB / 303kB
1.61%,100.7MiB / 3.835GiB,95.4kB / 48.5kB,32.8kB / 303kB
1.61%,100.7MiB / 3.835GiB,95.4kB / 48.5kB,32.8kB / 303kB
1.36%,100.7MiB / 3.835GiB,95.5kB / 48.7kB,32.8kB / 303kB
1.36%,100.7MiB / 3.835GiB,95.5kB / 48.7kB,32.8kB / 303kB
1.48%,100.7MiB / 3.835GiB,95.5kB / 48.7kB,32.8kB / 303kB
1.48%,100.7MiB / 3.835GiB,95.5kB / 48.7kB,32.8kB / 303kB
1.43%,100.7MiB / 3.835GiB,95.5kB / 48.7kB,32.8kB / 303kB
1.43%,100.7MiB / 3.835GiB,95.5kB / 48.7kB,32.8kB / 303kB
