CPU,Mem,Net,Block
0.23%,4.664MiB / 512MiB,3.87MB / 5.73MB,41kB / 7.66MB
0.23%,4.664MiB / 512MiB,3.87MB / 5.73MB,41kB / 7.66MB
1.27%,4.734MiB / 512MiB,3.92MB / 5.84MB,57.3kB / 7.67MB
1.27%,4.734MiB / 512MiB,3.92MB / 5.84MB,57.3kB / 7.67MB
19.84%,4.945MiB / 512MiB,4.77MB / 8.05MB,65.5kB / 8.97MB
19.84%,4.945MiB / 512MiB,4.77MB / 8.05MB,65.5kB / 8.97MB
0.30%,4.871MiB / 512MiB,4.77MB / 8.05MB,65.5kB / 10.2MB
0.30%,4.871MiB / 512MiB,4.77MB / 8.05MB,65.5kB / 10.2MB
0.22%,4.871MiB / 512MiB,4.77MB / 8.05MB,65.5kB / 10.2MB
