CPU,Mem,Net,Block
0.00%,49.62MiB / 3.835GiB,24.6kB / 23.1kB,385kB / 1.52MB
0.00%,49.62MiB / 3.835GiB,24.6kB / 23.1kB,385kB / 1.52MB
0.43%,49.62MiB / 3.835GiB,24.6kB / 23.1kB,385kB / 1.52MB
0.43%,49.62MiB / 3.835GiB,24.6kB / 23.1kB,385kB / 1.52MB
0.30%,49.62MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.30%,49.62MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.43%,49.62MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.43%,49.62MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.27%,49.63MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.27%,49.63MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
2.43%,49.66MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
2.43%,49.66MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.28%,49.66MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.28%,49.66MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.43%,49.66MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.43%,49.66MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.28%,49.66MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.28%,49.66MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.45%,49.66MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.45%,49.66MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.34%,49.66MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.34%,49.66MiB / 3.835GiB,24.6kB / 23.2kB,385kB / 1.52MB
0.43%,49.66MiB / 3.835GiB,24.7kB / 23.3kB,385kB / 1.52MB
0.43%,49.66MiB / 3.835GiB,24.7kB / 23.3kB,385kB / 1.52MB
0.27%,49.66MiB / 3.835GiB,24.7kB / 23.3kB,385kB / 1.52MB
0.27%,49.66MiB / 3.835GiB,24.7kB / 23.3kB,385kB / 1.52MB
0.43%,49.66MiB / 3.835GiB,24.7kB / 23.3kB,385kB / 1.52MB
0.43%,49.66MiB / 3.835GiB,24.7kB / 23.3kB,385kB / 1.52MB
0.27%,49.66MiB / 3.835GiB,24.7kB / 23.3kB,385kB / 1.52MB
0.27%,49.66MiB / 3.835GiB,24.7kB / 23.3kB,385kB / 1.52MB
2.72%,49.69MiB / 3.835GiB,24.7kB / 23.3kB,385kB / 1.52MB
2.72%,49.69MiB / 3.835GiB,24.7kB / 23.3kB,385kB / 1.52MB
0.30%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.30%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.49%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.49%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.35%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.35%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.51%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.51%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.40%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.40%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.49%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.49%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.34%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.34%,49.69MiB / 3.835GiB,24.8kB / 23.4kB,385kB / 1.52MB
0.56%,49.69MiB / 3.835GiB,24.9kB / 23.4kB,385kB / 1.52MB
0.56%,49.69MiB / 3.835GiB,24.9kB / 23.4kB,385kB / 1.52MB
0.52%,49.69MiB / 3.835GiB,24.9kB / 23.4kB,385kB / 1.52MB
0.52%,49.69MiB / 3.835GiB,24.9kB / 23.4kB,385kB / 1.52MB
2.63%,49.74MiB / 3.835GiB,24.9kB / 23.4kB,385kB / 1.52MB
2.63%,49.74MiB / 3.835GiB,24.9kB / 23.4kB,385kB / 1.52MB
1.18%,49.74MiB / 3.835GiB,24.9kB / 23.4kB,385kB / 1.52MB
1.18%,49.74MiB / 3.835GiB,24.9kB / 23.4kB,385kB / 1.52MB
0.73%,49.74MiB / 3.835GiB,24.9kB / 23.4kB,385kB / 1.52MB
0.73%,49.74MiB / 3.835GiB,24.9kB / 23.4kB,385kB / 1.52MB
0.49%,49.74MiB / 3.835GiB,24.9kB / 23.4kB,385kB / 1.52MB
