CPU,Mem,Net,Block
0.00%,49.07MiB / 3.835GiB,23.9kB / 23kB,0B / 1.52MB
1.85%,49.07MiB / 3.835GiB,23.9kB / 23kB,0B / 1.52MB
1.85%,49.07MiB / 3.835GiB,23.9kB / 23kB,0B / 1.52MB
0.42%,49.07MiB / 3.835GiB,23.9kB / 23kB,0B / 1.52MB
0.42%,49.07MiB / 3.835GiB,23.9kB / 23kB,0B / 1.52MB
1.38%,49.07MiB / 3.835GiB,24kB / 23kB,0B / 1.52MB
1.38%,49.07MiB / 3.835GiB,24kB / 23kB,0B / 1.52MB
0.46%,49.07MiB / 3.835GiB,24kB / 23kB,0B / 1.52MB
0.46%,49.07MiB / 3.835GiB,24kB / 23kB,0B / 1.52MB
3.01%,49.08MiB / 3.835GiB,24kB / 23kB,0B / 1.52MB
3.01%,49.08MiB / 3.835GiB,24kB / 23kB,0B / 1.52MB
0.28%,49.09MiB / 3.835GiB,24.1kB / 23.1kB,0B / 1.52MB
0.28%,49.09MiB / 3.835GiB,24.1kB / 23.1kB,0B / 1.52MB
0.36%,49.09MiB / 3.835GiB,24.1kB / 23.1kB,0B / 1.52MB
0.36%,49.09MiB / 3.835GiB,24.1kB / 23.1kB,0B / 1.52MB
1.11%,49.11MiB / 3.835GiB,24.1kB / 23.1kB,0B / 1.52MB
1.11%,49.11MiB / 3.835GiB,24.1kB / 23.1kB,0B / 1.52MB
0.57%,49.12MiB / 3.835GiB,24.1kB / 23.1kB,0B / 1.52MB
0.57%,49.12MiB / 3.835GiB,24.1kB / 23.1kB,0B / 1.52MB
1.29%,49.13MiB / 3.835GiB,24.1kB / 23.1kB,0B / 1.52MB
1.29%,49.13MiB / 3.835GiB,24.1kB / 23.1kB,0B / 1.52MB
0.51%,49.14MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.51%,49.14MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.52%,49.14MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.52%,49.14MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.60%,49.15MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.60%,49.15MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.43%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.43%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
2.51%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
2.51%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.33%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.33%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
1.17%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
1.17%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.33%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.33%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.49%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.49%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.45%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.45%,49.16MiB / 3.835GiB,24.1kB / 23.2kB,0B / 1.52MB
0.48%,49.16MiB / 3.835GiB,24.2kB / 23.2kB,0B / 1.52MB
0.48%,49.16MiB / 3.835GiB,24.2kB / 23.2kB,0B / 1.52MB
0.30%,49.16MiB / 3.835GiB,24.2kB / 23.2kB,0B / 1.52MB
0.30%,49.16MiB / 3.835GiB,24.2kB / 23.2kB,0B / 1.52MB
0.48%,49.16MiB / 3.835GiB,24.2kB / 23.2kB,0B / 1.52MB
0.48%,49.16MiB / 3.835GiB,24.2kB / 23.2kB,0B / 1.52MB
0.34%,49.16MiB / 3.835GiB,24.2kB / 23.2kB,0B / 1.52MB
0.34%,49.16MiB / 3.835GiB,24.2kB / 23.2kB,0B / 1.52MB
2.52%,49.16MiB / 3.835GiB,24.2kB / 23.2kB,0B / 1.52MB
2.52%,49.16MiB / 3.835GiB,24.2kB / 23.2kB,0B / 1.52MB
0.33%,49.16MiB / 3.835GiB,24.2kB / 23.3kB,0B / 1.52MB
0.33%,49.16MiB / 3.835GiB,24.2kB / 23.3kB,0B / 1.52MB
1.40%,49.16MiB / 3.835GiB,24.2kB / 23.3kB,0B / 1.52MB
1.40%,49.16MiB / 3.835GiB,24.2kB / 23.3kB,0B / 1.52MB
