CPU,Mem,Net,Block
0.00%,44.45MiB / 3.835GiB,72.8kB / 34.1kB,131kB / 254kB
0.00%,44.45MiB / 3.835GiB,72.8kB / 34.1kB,131kB / 254kB
1.63%,44.45MiB / 3.835GiB,72.8kB / 34.1kB,131kB / 254kB
1.63%,44.45MiB / 3.835GiB,72.8kB / 34.1kB,131kB / 254kB
1.49%,44.45MiB / 3.835GiB,72.8kB / 34.1kB,131kB / 254kB
1.49%,44.45MiB / 3.835GiB,72.8kB / 34.1kB,131kB / 254kB
1.72%,44.45MiB / 3.835GiB,72.8kB / 34.2kB,131kB / 254kB
1.72%,44.45MiB / 3.835GiB,72.8kB / 34.2kB,131kB / 254kB
1.39%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.39%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.71%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.71%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.68%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.68%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.53%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.53%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.71%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.71%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.58%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.58%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.56%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.56%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.70%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.70%,44.45MiB / 3.835GiB,72.9kB / 34.2kB,131kB / 254kB
1.70%,44.45MiB / 3.835GiB,73kB / 34.3kB,131kB / 254kB
1.70%,44.45MiB / 3.835GiB,73kB / 34.3kB,131kB / 254kB
1.65%,44.45MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.65%,44.45MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.41%,44.45MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.41%,44.45MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.46%,44.45MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.46%,44.45MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.53%,44.45MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.53%,44.45MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.64%,44.46MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.64%,44.46MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.52%,44.46MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.52%,44.46MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.59%,44.46MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.59%,44.46MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.55%,44.46MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.55%,44.46MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.68%,44.48MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.68%,44.48MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.67%,44.48MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.67%,44.48MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.57%,44.48MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.57%,44.48MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.55%,44.48MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.55%,44.48MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.76%,44.5MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.76%,44.5MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.75%,44.5MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.75%,44.5MiB / 3.835GiB,73.1kB / 34.4kB,131kB / 254kB
1.75%,44.52MiB / 3.835GiB,73.2kB / 34.5kB,131kB / 254kB
1.75%,44.52MiB / 3.835GiB,73.2kB / 34.5kB,131kB / 254kB
1.60%,44.52MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
1.60%,44.52MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
1.90%,44.52MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
1.90%,44.52MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
1.58%,44.52MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
1.58%,44.52MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
1.58%,44.52MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
1.58%,44.52MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
1.62%,44.53MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
1.62%,44.53MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
1.60%,44.53MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
1.60%,44.53MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
4.05%,61.1MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
4.05%,61.1MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
50.11%,99.31MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
50.11%,99.31MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
55.76%,99.31MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
55.76%,99.31MiB / 3.835GiB,73.3kB / 34.6kB,131kB / 254kB
56.47%,99.31MiB / 3.835GiB,73.4kB / 34.6kB,131kB / 254kB
56.47%,99.31MiB / 3.835GiB,73.4kB / 34.6kB,131kB / 254kB
52.27%,99.31MiB / 3.835GiB,73.4kB / 34.6kB,131kB / 254kB
52.27%,99.31MiB / 3.835GiB,73.4kB / 34.6kB,131kB / 254kB
61.75%,99.31MiB / 3.835GiB,73.4kB / 34.6kB,131kB / 254kB
61.75%,99.31MiB / 3.835GiB,73.4kB / 34.6kB,131kB / 254kB
61.75%,99.31MiB / 3.835GiB,73.4kB / 34.6kB,131kB / 254kB
34.45%,99.32MiB / 3.835GiB,73.4kB / 34.6kB,131kB / 254kB
34.45%,99.32MiB / 3.835GiB,73.4kB / 34.6kB,131kB / 254kB
2.04%,99.32MiB / 3.835GiB,73.4kB / 34.6kB,131kB / 254kB
