CPU,Mem,Net,Block
0.00%,14.3MiB / 3.835GiB,15.9kB / 24.8kB,0B / 238kB
0.00%,14.3MiB / 3.835GiB,15.9kB / 24.8kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,15.9kB / 24.8kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,15.9kB / 24.8kB,0B / 238kB
0.06%,14.3MiB / 3.835GiB,15.9kB / 24.9kB,0B / 238kB
0.06%,14.3MiB / 3.835GiB,15.9kB / 24.9kB,0B / 238kB
0.12%,14.3MiB / 3.835GiB,15.9kB / 24.9kB,0B / 238kB
0.12%,14.3MiB / 3.835GiB,15.9kB / 24.9kB,0B / 238kB
0.06%,14.3MiB / 3.835GiB,15.9kB / 24.9kB,0B / 238kB
0.06%,14.3MiB / 3.835GiB,15.9kB / 24.9kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.06%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.06%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.09%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.09%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16kB / 24.9kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.09%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.09%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.10%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.10%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.19%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.19%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.10%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.10%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.09%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.09%,14.3MiB / 3.835GiB,16.1kB / 25kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.2kB / 25.1kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.2kB / 25.1kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.13%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.13%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.11%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.11%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.10%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.10%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.08%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.06%,14.3MiB / 3.835GiB,16.3kB / 25.1kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.07%,14.3MiB / 3.835GiB,16.6kB / 25.3kB,0B / 238kB
0.55%,14.33MiB / 3.835GiB,22.4kB / 37.4kB,0B / 279kB
0.55%,14.33MiB / 3.835GiB,22.4kB / 37.4kB,0B / 279kB
0.13%,14.33MiB / 3.835GiB,22.4kB / 37.4kB,0B / 279kB
0.13%,14.33MiB / 3.835GiB,22.4kB / 37.4kB,0B / 279kB
0.10%,14.38MiB / 3.835GiB,22.4kB / 37.4kB,0B / 279kB
0.10%,14.38MiB / 3.835GiB,22.4kB / 37.4kB,0B / 279kB
0.09%,14.38MiB / 3.835GiB,22.4kB / 37.4kB,0B / 279kB
0.09%,14.38MiB / 3.835GiB,22.4kB / 37.4kB,0B / 279kB
0.07%,14.38MiB / 3.835GiB,22.4kB / 37.4kB,0B / 279kB
0.07%,14.38MiB / 3.835GiB,22.4kB / 37.4kB,0B / 279kB
0.08%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.08%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.08%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.08%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.08%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.08%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.07%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.07%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.08%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.08%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.08%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.08%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.09%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.09%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.07%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.07%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
0.09%,14.38MiB / 3.835GiB,22.5kB / 37.5kB,0B / 279kB
