CPU,Mem,Net,Block
0.00%,49.33MiB / 3.835GiB,24.5kB / 23.3kB,0B / 1.52MB
0.00%,49.33MiB / 3.835GiB,24.5kB / 23.3kB,0B / 1.52MB
0.24%,49.33MiB / 3.835GiB,24.5kB / 23.3kB,0B / 1.52MB
0.24%,49.33MiB / 3.835GiB,24.5kB / 23.3kB,0B / 1.52MB
0.42%,49.33MiB / 3.835GiB,24.5kB / 23.3kB,0B / 1.52MB
0.42%,49.33MiB / 3.835GiB,24.5kB / 23.3kB,0B / 1.52MB
0.25%,49.33MiB / 3.835GiB,24.5kB / 23.3kB,0B / 1.52MB
0.25%,49.33MiB / 3.835GiB,24.5kB / 23.3kB,0B / 1.52MB
2.40%,49.33MiB / 3.835GiB,24.5kB / 23.3kB,0B / 1.52MB
2.40%,49.33MiB / 3.835GiB,24.5kB / 23.3kB,0B / 1.52MB
0.26%,49.33MiB / 3.835GiB,24.5kB / 23.4kB,0B / 1.52MB
0.26%,49.33MiB / 3.835GiB,24.5kB / 23.4kB,0B / 1.52MB
0.46%,49.33MiB / 3.835GiB,24.5kB / 23.4kB,0B / 1.52MB
0.46%,49.33MiB / 3.835GiB,24.5kB / 23.4kB,0B / 1.52MB
0.32%,49.33MiB / 3.835GiB,24.5kB / 23.4kB,0B / 1.52MB
0.32%,49.33MiB / 3.835GiB,24.5kB / 23.4kB,0B / 1.52MB
0.40%,49.33MiB / 3.835GiB,24.5kB / 23.4kB,0B / 1.52MB
0.40%,49.33MiB / 3.835GiB,24.5kB / 23.4kB,0B / 1.52MB
0.37%,49.33MiB / 3.835GiB,24.5kB / 23.4kB,0B / 1.52MB
0.37%,49.33MiB / 3.835GiB,24.5kB / 23.4kB,0B / 1.52MB
0.40%,49.33MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.40%,49.33MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.30%,49.33MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.30%,49.33MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.47%,49.33MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.47%,49.33MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.28%,49.33MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.28%,49.33MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
2.44%,49.34MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
2.44%,49.34MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.28%,49.34MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.28%,49.34MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.36%,49.34MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.36%,49.34MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.31%,49.34MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.31%,49.34MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.34%,49.34MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.34%,49.34MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.46%,49.34MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.46%,49.34MiB / 3.835GiB,24.6kB / 23.5kB,0B / 1.52MB
0.42%,49.34MiB / 3.835GiB,24.7kB / 23.5kB,0B / 1.52MB
0.42%,49.34MiB / 3.835GiB,24.7kB / 23.5kB,0B / 1.52MB
0.33%,49.34MiB / 3.835GiB,24.7kB / 23.5kB,0B / 1.52MB
0.33%,49.34MiB / 3.835GiB,24.7kB / 23.5kB,0B / 1.52MB
0.42%,49.34MiB / 3.835GiB,24.7kB / 23.5kB,0B / 1.52MB
0.42%,49.34MiB / 3.835GiB,24.7kB / 23.5kB,0B / 1.52MB
2.45%,49.34MiB / 3.835GiB,24.7kB / 23.5kB,0B / 1.52MB
2.45%,49.34MiB / 3.835GiB,24.7kB / 23.5kB,0B / 1.52MB
0.49%,49.34MiB / 3.835GiB,24.7kB / 23.5kB,0B / 1.52MB
0.49%,49.34MiB / 3.835GiB,24.7kB / 23.5kB,0B / 1.52MB
0.33%,49.34MiB / 3.835GiB,24.7kB / 23.6kB,0B / 1.52MB
0.33%,49.34MiB / 3.835GiB,24.7kB / 23.6kB,0B / 1.52MB
0.45%,49.34MiB / 3.835GiB,24.7kB / 23.6kB,0B / 1.52MB
0.45%,49.34MiB / 3.835GiB,24.7kB / 23.6kB,0B / 1.52MB
0.37%,49.34MiB / 3.835GiB,24.7kB / 23.6kB,0B / 1.52MB
0.37%,49.34MiB / 3.835GiB,24.7kB / 23.6kB,0B / 1.52MB
0.52%,49.34MiB / 3.835GiB,24.7kB / 23.6kB,0B / 1.52MB
0.52%,49.34MiB / 3.835GiB,24.7kB / 23.6kB,0B / 1.52MB
0.34%,49.34MiB / 3.835GiB,24.7kB / 23.6kB,0B / 1.52MB
0.34%,49.34MiB / 3.835GiB,24.7kB / 23.6kB,0B / 1.52MB
