CPU,Mem,Net,Block
0.00%,44.45MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
0.00%,44.45MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.72%,44.45MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.72%,44.45MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.45%,44.45MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.45%,44.45MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.55%,44.45MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.55%,44.45MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.72%,44.45MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.72%,44.45MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.77%,44.46MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.77%,44.46MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.58%,44.46MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.58%,44.46MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.78%,44.46MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.78%,44.46MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.63%,44.46MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.63%,44.46MiB / 3.835GiB,73.4kB / 34.8kB,0B / 254kB
1.84%,44.46MiB / 3.835GiB,73.5kB / 34.9kB,0B / 254kB
1.84%,44.46MiB / 3.835GiB,73.5kB / 34.9kB,0B / 254kB
1.79%,44.46MiB / 3.835GiB,73.5kB / 34.9kB,0B / 254kB
1.79%,44.46MiB / 3.835GiB,73.5kB / 34.9kB,0B / 254kB
1.67%,44.46MiB / 3.835GiB,73.5kB / 34.9kB,0B / 254kB
1.67%,44.46MiB / 3.835GiB,73.5kB / 34.9kB,0B / 254kB
1.64%,44.46MiB / 3.835GiB,73.5kB / 34.9kB,0B / 254kB
1.64%,44.46MiB / 3.835GiB,73.5kB / 34.9kB,0B / 254kB
1.85%,44.46MiB / 3.835GiB,73.5kB / 34.9kB,0B / 254kB
1.85%,44.46MiB / 3.835GiB,73.5kB / 34.9kB,0B / 254kB
1.75%,44.46MiB / 3.835GiB,73.5kB / 34.9kB,0B / 254kB
1.75%,44.46MiB / 3.835GiB,73.5kB / 34.9kB,0B / 254kB
1.78%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.78%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.65%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.65%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.49%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.49%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.69%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.69%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.88%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.88%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.87%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.87%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.65%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
1.65%,44.46MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
14.24%,99.16MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
14.24%,99.16MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
55.14%,99.16MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
55.14%,99.16MiB / 3.835GiB,73.6kB / 35kB,0B / 254kB
56.19%,99.16MiB / 3.835GiB,73.7kB / 35.1kB,0B / 254kB
56.19%,99.16MiB / 3.835GiB,73.7kB / 35.1kB,0B / 254kB
57.17%,99.16MiB / 3.835GiB,73.7kB / 35.1kB,0B / 254kB
57.17%,99.16MiB / 3.835GiB,73.7kB / 35.1kB,0B / 254kB
55.32%,99.16MiB / 3.835GiB,73.7kB / 35.1kB,0B / 254kB
55.32%,99.16MiB / 3.835GiB,73.7kB / 35.1kB,0B / 254kB
48.67%,99.16MiB / 3.835GiB,73.7kB / 35.1kB,0B / 254kB
48.67%,99.16MiB / 3.835GiB,73.7kB / 35.1kB,0B / 254kB
1.71%,99.16MiB / 3.835GiB,73.7kB / 35.1kB,0B / 254kB
1.71%,99.16MiB / 3.835GiB,73.7kB / 35.1kB,0B / 254kB
2.19%,99.83MiB / 3.835GiB,73.7kB / 35.1kB,0B / 254kB
