CPU,Mem,Net,Block
0.00%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.00%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.07%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.07%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.08%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.08%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.09%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.09%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.07%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.07%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.07%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.07%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.16%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.16%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.14%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.14%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.08%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.08%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.08%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.08%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.10%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.10%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.07%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.07%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.09%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.09%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.08%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.08%,14.68MiB / 3.835GiB,16.4kB / 25.2kB,229kB / 238kB
0.09%,14.68MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.09%,14.68MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.09%,14.68MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.09%,14.68MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.09%,14.68MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.09%,14.68MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.68MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.07%,14.68MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
0.09%,14.68MiB / 3.835GiB,16.5kB / 25.3kB,229kB / 238kB
